Date,Open,High,Low,Close,Volume,UpperB,LowerB,PercentB
2012/4/12,137.130005,138.899994,137.029999,138.789993,154321500,142.9093366,136.9226611,0.311914665
2012/4/13,138.470001,138.820007,137.009995,137.139999,169246700,142.9481396,136.5258579,0.095626618
2012/4/16,137.839996,138.039993,136.580002,137.050003,147825300,142.9882208,136.1607767,0.130242931
2012/4/17,137.839996,139.360001,137.699997,139.080002,147877600,142.8519294,136.1200677,0.439690302
2012/4/18,138.460007,139.080002,138.380005,138.610001,123884200,142.7507146,136.0382824,0.383127682
2012/4/19,138.630005,139.149994,137.070007,137.720001,198666700,142.6830927,135.8569037,0.272933739
2012/4/20,138.330002,138.830002,137.869995,137.949997,143199600,142.6713915,135.7436049,0.318484419
2012/4/23,136.539993,136.910004,135.940002,136.789993,171844900,142.6841141,135.4448822,0.185808495
2012/4/24,136.910004,137.660004,136.800003,137.309998,137484200,142.341048,135.357948,0.279539174
2012/4/25,138.649994,139.25,138.529999,139.190002,150252200,142.0732137,135.4277827,0.566136238
2012/4/26,138.889999,140.320007,138.809998,140.160004,136291600,142.0266878,135.4433089,0.716455056
2012/4/27,140.580002,140.789993,139.800003,140.389999,130725000,142.0507254,135.4352716,0.748962589
2012/4/30,140.110001,140.210007,139.490005,139.869995,115092200,141.9053097,135.486687,0.682904764
2012/5/1,139.789993,141.660004,139.630005,140.740005,138832200,141.6552184,135.6267792,0.848184024
2012/5/2,139.919998,140.460007,139.460007,140.320007,121081000,141.4620436,135.7259552,0.800903248
2012/5/3,140.339996,140.449997,138.990005,139.25,143759700,141.387492,135.7395067,0.621547882
2012/5/4,138.520004,139.300003,136.919998,137,193927300,141.268458,135.5795414,0.249688771
2012/5/7,136.509995,137.559998,136.460007,137.100006,127765900,141.2728273,135.4631726,0.281743662
2012/5/8,136.279999,136.770004,134.919998,136.550003,213377700,141.2017609,135.5992399,0.169702731
2012/5/9,135.100006,136.610001,134.490005,135.740005,220752500,141.3220571,135.3529442,0.064843944
2012/5/10,136.679993,136.850006,135.710007,136.020004,150600000,141.347715,135.0502874,0.15398614
2012/5/11,135.169998,136.869995,135.110001,135.610001,153032400,141.4488802,134.7961224,0.122337025
2012/5/14,134.309998,135.610001,133.910004,134.110001,163910000,141.7333144,134.217688,-0.014328417
